Timestamp,Instance,Algorithm,Best,Average,Worst,StdDev
2025-03-31 09:21:52,1.vrp,GeneticAlgorithm,1181.35,1193.84,1592.48,52.84
2025-03-31 09:21:53,1.vrp,RandomAlgorithm,1814.57,2222.20,2575.55,128.38
2025-03-31 09:21:53,1.vrp,GreedyAlgorithm,1341.88,1341.88,1341.88,0.00
2025-03-31 09:21:53,1.vrp,TabuSearch,1095.36,1259.90,2109.70,107.23
2025-03-31 09:21:53,1.vrp,SimulatedAnnealing,1182.20,1669.64,2480.50,363.52
2025-03-31 09:21:59,2.vrp,GeneticAlgorithm,978.73,1013.43,1396.56,90.68
2025-03-31 09:21:59,2.vrp,RandomAlgorithm,1512.15,2119.78,2565.52,136.55
2025-03-31 09:21:59,2.vrp,GreedyAlgorithm,1146.40,1146.40,1146.40,0.00
2025-03-31 09:21:59,2.vrp,TabuSearch,997.70,1225.45,1720.95,140.63
2025-03-31 09:21:59,2.vrp,SimulatedAnnealing,1065.04,1486.07,2400.94,374.48
2025-03-31 09:22:06,3.vrp,GeneticAlgorithm,877.07,901.59,1255.32,65.97
2025-03-31 09:22:06,3.vrp,RandomAlgorithm,1417.16,1812.89,2177.90,134.41
2025-03-31 09:22:06,3.vrp,GreedyAlgorithm,978.15,978.15,978.15,0.00
2025-03-31 09:22:06,3.vrp,TabuSearch,808.73,926.88,1604.16,91.76
2025-03-31 09:22:06,3.vrp,SimulatedAnnealing,1010.02,1317.68,1996.86,301.39
2025-03-31 09:22:14,4.vrp,GeneticAlgorithm,837.72,853.82,1164.09,52.24
2025-03-31 09:22:14,4.vrp,RandomAlgorithm,1425.11,1759.43,2088.91,111.80
2025-03-31 09:22:14,4.vrp,GreedyAlgorithm,1043.27,1043.27,1043.27,0.00
2025-03-31 09:22:14,4.vrp,TabuSearch,837.42,968.32,1697.39,94.49
2025-03-31 09:22:14,4.vrp,SimulatedAnnealing,903.34,1254.98,1978.75,318.92
2025-03-31 09:22:22,5.vrp,GeneticAlgorithm,1018.01,1051.55,1488.07,90.77
2025-03-31 09:22:22,5.vrp,RandomAlgorithm,1541.60,1945.77,2318.44,123.41
2025-03-31 09:22:22,5.vrp,GreedyAlgorithm,892.52,985.15,1062.33,55.59
2025-03-31 09:22:22,5.vrp,TabuSearch,870.89,1048.47,1864.47,116.15
2025-03-31 09:22:22,5.vrp,SimulatedAnnealing,998.15,1355.63,2155.58,374.70
2025-03-31 09:22:29,6.vrp,GeneticAlgorithm,934.55,965.14,1363.75,86.88
2025-03-31 09:22:30,6.vrp,RandomAlgorithm,1667.05,2098.05,2471.35,132.43
2025-03-31 09:22:30,6.vrp,GreedyAlgorithm,1103.50,1107.02,1108.52,2.30
2025-03-31 09:22:30,6.vrp,TabuSearch,1009.51,1137.60,1941.38,96.81
2025-03-31 09:22:30,6.vrp,SimulatedAnnealing,1092.52,1477.02,2423.17,396.14
2025-03-31 09:22:37,7.vrp,GeneticAlgorithm,967.75,982.34,1259.31,52.47
2025-03-31 09:22:37,7.vrp,RandomAlgorithm,1453.75,1941.53,2279.61,118.78
2025-03-31 09:22:37,7.vrp,GreedyAlgorithm,948.55,954.19,959.84,5.65
2025-03-31 09:22:37,7.vrp,TabuSearch,902.85,1019.28,1786.44,107.52
2025-03-31 09:22:37,7.vrp,SimulatedAnnealing,941.76,1373.57,2133.83,356.37
2025-03-31 09:34:57,1.vrp,GeneticAlgorithm,1190.56,1240.35,1778.90,129.10
2025-03-31 09:34:57,1.vrp,RandomAlgorithm,1830.38,2216.59,2662.24,129.19
